Name Of School/Team,Harmonized Name
Abilene Christian University,Abilene Christian
Adrian College,Adrian College
Air Force,Air Force
Akron,Akron
Akron Groomsmen,Akron
University of Akron,Akron
Alabama,Alabama
Alabama ,Alabama
Alabama Crimson Tide,Alabama
"ALABAMA, UNIVERSITY OF ALABAMA (CRIMSON TIDE)",Alabama
Auburn University (Coach Caddy Version),Alabama
Bama,Alabama
Extra Points,Protect Trans Kids University
RMFT,Alabama
The University of Alabama,Alabama
University of Alabama,Alabama
University of Alabama ,Alabama
Alaska,University of Alaska Anchorage
Alaska (Fairbanks),University of Alaska Fairbanks
Alaska-Anchorage,University of Alaska Anchorage
Alaska Fairbanks,University of Alaska Fairbanks
University of Alaska,University of Alaska Anchorage
University of Alaska Anchorage,University of Alaska Anchorage
University of Alaska Anchorage ,University of Alaska Anchorage
University of Alaska Fairbanks,University of Alaska Fairbanks
University of Alaska Southeast,University of Alaska Southeast
University of Anchorage Alaska,University of Alaska Anchorage
Alaska Pacific University,Alaska Pacific
Alaska Pacific,Alaska Pacific
ALBION COLLEGE,Albion College
Albion College ,Albion College
Allegheny,Allegheny College
Alma College,Alma College
American University,American University
American University,American University
American University,American University
Amherst College,Amherst College
Amherst College ,Amherst College
Anderson University,Anderson University (IN)
Anderson University (Trojans),Anderson University (SC)
Anna Maria College,Anna Maria College
App State,Appalachian State
Appalachian State,Appalachian State
Appalachian State University,Appalachian State
Appalachian State University ,Appalachian State
Arizona,Arizona
Arizona Wildcats,Arizona
"ARIZONA, UNIVERSITY OF ARIZONA  (WILDCATS)",Arizona
"ARIZONA, UNIVERSITY OF ARIZONA (WILDCATS)",Arizona
University of Arizona,Arizona
Arizona state,Arizona State
Arizona State ,Arizona State
Arizona State Sun Devils,Arizona State
Arizona State University,Arizona State
Arizona State University ,Arizona State
Bob Dylan's Catalog,Protect Trans Kids University
Justin Wilson Culinary Institute of Technology & Bait Shoppe,Protect Trans Kids University
Nobody,Protect Trans Kids University
South Harmon Institute of Technology,Protect Trans Kids University
Team Chaos,Protect Trans Kids University
Tufts University (but let's just say Arizona St),Arizona State
Universidad de Hijo del Vikingo,Protect Trans Kids University
Arkansas,Arkansas
Arkansas,Arkansas
Arkansas ,Arkansas
Arkansas Razorbacks,Arkansas
Arkansas Razorsads,Arkansas
"Arkansas, lulz",Arkansas
"ARKANSAS, UNIVERSITY OF ARKANSAS",Arkansas
University of Arkansas,Arkansas
Arkansas State,Arkansas State
Arkansas State University,Arkansas State
Arkansas Tech,Arkansas Tech
Arkansas Tech University (The Wonder Boys),Arkansas Tech
Army,Army
Army (West Point),Army
Army West Point,Army
US Army Air Corps,Army
Ashland University,Ashland University
Auburn,Auburn
auburn ,Auburn
Auburn Jesus,Auburn
Auburn Tigers,Auburn
Auburn University,Auburn
Auburn University ,Auburn
AUBURN UNIVERSITY (TIGERS),Auburn
Kings College (PA),King's College (PA)
Augsburg,Augsburg University
Augsburg University MN,Augsburg University
Augsburg University MN,Augsburg University
Augustana College (IL),Augustana College
Augustana University,Augustana University
Austin Peay,Austin Peay
Baldwin Wallace University,Baldwin Wallace University
Ball State,Ball State
BALL STATE UNIVERSITY,Ball State
Barber Scotia College,Barber Scotia College
Bard College,Bard College
Barnard College,Barnard College
Baruch College,Baruch College
BATES COLLEGE,Bates College
Baylor,Baylor
Baylor ,Baylor
Baylor University,Baylor
BAYLOR UNIVERSITY (BEARS),Baylor
Bellarmine University,Bellarmine University
Belmont University,Belmont University
Benedictine College,Benedictine College
Berry College,Berry College
Bethel University (VT),Bethel University (VT)
HBCUs,Protect Trans Kids University
Binghamton University,Binghamton University
Birmingham-Southern College,Birmingham-Southern College
Birmingham-Southern College Panthers,Birmingham-Southern College
Bishop's University,Bishop's University
Bishop's University,Bishop's University
Black Hills State University,Black Hills State
Black Hills State,Black Hills State
Boise State,Boise State
Boston College,Boston College
Boston University,Boston University
Bowdoin College,Bowdoin College
Bowling Green,Bowling Green
Bowling Green State University,Bowling Green
Bradley,Bradley University
Bradley University,Bradley University
Bradley University,Bradley University
Bradley University (Peoria Illinois),Bradley University
Brandeis,Brandeis
Brandeis University,Brandeis
Bridgewater College,Bridgewater College
Brown,Brown
BROWN,Brown
Brown University,Brown
Bryant University,Bryant University
Bryant University,Bryant University
Bryn Mawr,Bryn Mawr
Bucknell,Bucknell
Bucknell Bison,Bucknell
Bucknell University,Bucknell
Buena Vista University,Buena Vista University
Buffalo,Buffalo
Buffalo ,Buffalo
Buffalo (University at Buffalo),Buffalo
"Buffalo (University at Buffalo/SUNY Buffalo, depending on who you ask)",Buffalo
SUNY BUFFALO,Buffalo
University at Buffalo,Buffalo
Butler University,Butler
Butler Bulldogs,Butler
Brigham Young University,BYU
BYU,BYU
Cabrini University - Final Four,Cabrini University
Cal,Cal (Berkeley)
Cal Bears,Cal (Berkeley)
Cal Lutheran,Cal (Berkeley)
California,Cal (Berkeley)
CALIFORNIA GOLDEN BEARS,Cal (Berkeley)
Evan / Cal,Cal (Berkeley)
CAL (BERKELEY),Cal (Berkeley)
"CALIFORNIA, THE UNIVERSITY OF CALIFORNIA AT BERKELEY",Cal (Berkeley)
The University of California at Berkeley,Cal (Berkeley)
UC Berkeley,Cal (Berkeley)
CAL POLY,Cal Poly
Cal Poly - San Luis Obispo,Cal Poly
Cal Poly Pomona,Cal Poly Pomona
California State Polytechnic University Pomona,Cal Poly Pomona
Cal State Fullerton,Cal State Fullerton
Cal State Monterey Bay,Cal State Monterey Bay
"California State University, Monterey Bay",Cal State Monterey Bay
CSU Monterey Bay,Cal State Monterey Bay
Cal State San Bernardino,Cal State San Bernardino
"California State University, San Bernardino",Cal State San Bernardino
California Lutheran University,California Lutheran University
Cal U of PA,California University of Pennsylvania
CALIFORNIA UNIVERSITY OF PENNSYLVANIA,California University of Pennsylvania
California University of Pennsylvania,California University of Pennsylvania
California University of Pennsylvania (RIP),California University of Pennsylvania
California Institute of Technology,Caltech
Caltech,Caltech
Campbell University,Campbell University
Canisius College,Canisius University
Capital University,Capital University
Carleton College,Carleton College
Carleton University,Carleton University
Carleton University ,Carleton University
Carnegie Mellon,Carnegie Mellon
Carnegie Mellon University,Carnegie Mellon
Carroll University,Carroll University
Carson-Newman Beach Volleyball,Carson-Newman
Carson-Newman,Carson-Newman
Case Western Reserve,Case Western Reserve
CASE WESTERN RESERVE UNIVERSITY,Case Western Reserve
Case Western Reserve University ,Case Western Reserve
Catholic Univeristy,Catholic University of America
Catholic University of America,Catholic University of America
Catholic Univeristy,Catholic University of America
Catholic U,Catholic University of America
Central College (IA),Central College
CENTRAL COLLEGE,Central College
Central Michgan,Central Michigan
Central Michigan,Central Michigan
Central Michigan ,Central Michigan
Central Michigan University,Central Michigan
Central Michigan University ,Central Michigan
University of Central Oklahoma,Central Oklahoma
Central Washington,Central Washington
Central Washington University,Central Washington
Central Washington University,Central Washington
Centre College,Centre College
Champlain College,Champlain College
Chapman University,Chapman University
Charlotte,Charlotte
UNC Charlotte,Charlotte
Chattanooga,Chattanooga
University of Tennessee at Chattanooga,Chattanooga
UT Chattanooga,Chattanooga
Chicago State,Chicago State
Chicago State,Chicago State
Cal State University: Chico,Chico State
California State University: Chico,Chico State
Chico State!,Chico State
California State University: Chico (Chico State),Chico State
Chico State,Chico State
Chico State,Chico State
"CSU, Chico",Chico State
Cincinnati,Cincinnati
Cincinnati Bearcats,Cincinnati
"CINCINNATI, UNIVERSITY OF CINCINNATI",Cincinnati
"CINCINNATI,UNIVERSITY OF CINCINNATI",Cincinnati
University of Cincinnati,Cincinnati
City College of New York,City College of New York
Clarion University of Pennsylvania,Clarion University of Pennsylvania
Clark Atlanta University,Clark Atlanta University
CAU,Clark Atlanta University
Clark University,Clark University
Clarkson University,Clarkson University
"Antioch the Birthday Spider Institute for Higher Learning, Mid-South Campus Extension",Protect Trans Kids University
Clemson,Clemson
Clemson ,Clemson
Clemson University,Clemson
Coast Guard Academy,Coast Guard Academy
US Coast Guard Academy,Coast Guard Academy
Coast Guard,Coast Guard Academy
Coastal Carolina,Coastal Carolina
COASTAL CAROLINA UNIVERSITY,Coastal Carolina
Colby'Sawyer College,Colby-Sawyer College
Colgate,Colgate
College of Idaho,College of Idaho
College of Idaho (not University of Idaho),College of Idaho
Colorado,Colorado
Colorado Buffaloes ,Colorado
Colorado Buffalos,Colorado
"COLORADO, UNIVERSITY OF COLORADO (BOULDER)",Colorado
University of Colorado,Colorado
University of Colorado ,Colorado
University of Colorado - Boulder,Colorado
University of Colorado Buffaloes,Colorado
University of Colorado Golden Buffaloes,Colorado
Colorado College,Colorado College
THE Colorado College,Colorado College
Colorado School of Mines,Colorado School of Mines
Colorado School of Mines ,Colorado School of Mines
Colorado State,Colorado State
Colorado State,Colorado State
Colorado State Rams,Colorado State
COLORADO STATE UNIVERSITY,Colorado State
JNCOlorado State University,Colorado State
JNCOlorado State University,Colorado State
Columbia,Columbia
Columbia,Columbia
Columbia U,Columbia
Columbia University,Columbia
COLUMBIA UNIVERSITY,Columbia
Concordia - Moorhead,Concordia-Moorhead
Concordia-Moorhead,Concordia-Moorhead
"CONNECTICUT, UNIVERSITY OF CONNECTICUT (UCONN)",Connecticut (UConn)
UConn,Connecticut (UConn)
CONNECTICUT (UCONN),Connecticut (UConn)
University of Connecticut,Connecticut (UConn)
Connecticut College,Connecticut College
Connecticut College (not UCONN),Connecticut College
Cornell,Cornell
Cornell,Cornell
Cornell University,Cornell
Cornell University,Cornell
Creighton,Creighton University
Creighton University,Creighton University
Dartmouth,Dartmouth
Dartmouth College,Dartmouth
Davidson,Davidson
Davidson College,Davidson
Dayton,Dayton
Dayton Flyers ,Dayton
"Dayton, University of Dayton",Dayton
University of Dayton,Dayton
Delaware,Delaware
Univeristy of Delaware,Delaware
University of Delaware,Delaware
University of Delaware,Delaware
THE Delaware Fightin' Blue Hens,Delaware
Delaware Fightin Blue Hens,Delaware
University of Delaware,Delaware
University of Delaware Fightin' Blue Hens,Delaware
Delaware Valley University (DelVal),Delaware Valley University
Delta State University,Delta State
Delta State University Fighting Okra,Delta State
Denison University,Denison University
Denison,Denison University
DePaul,DePaul
DePaul University,DePaul
DePauw,DePauw
DePauw Tigers,DePauw
DePauw University,DePauw
Dickinson College,Dickinson College
DOANE,Doane University
Doane ,Doane University
Drake University,Drake University
Drake,Drake University
Drexel,Drexel University
Drexel University,Drexel University
Duke,Duke
Duke University,Duke
Duquesne University,Duquesne University
Earlham College,Earlham College
East Carolina,East Carolina
East Carolina ,East Carolina
East Carolina University,East Carolina
East Tennessee State University,East Tennessee State
East Tennessee State,East Tennessee State
East Tennessee State University (ETSU),East Tennessee State
Eastern Illinois Panthers,Eastern Illinois
Eastern Illinois,Eastern Illinois
EASTERN KENTUCKY,Eastern Kentucky
Eastern Kentucky University,Eastern Kentucky
Eastern Kentucky University,Eastern Kentucky
Eastern Kentucky University,Eastern Kentucky
Eastern Michigan,Eastern Michigan
Eastern Michigan University,Eastern Michigan
Eastern New Mexico University,Eastern New Mexico University
Eastern Oregon,Eastern Oregon
Eastern Washington University,Eastern Washington University
Edge Hill University,Edge Hill University
Elon University,Elon
ELON,Elon
Embry-Riddle,Embry-Riddle
Embry-Riddle Aeronautical University,Embry-Riddle
Embry-Riddle Aeronautical University - Daytona Beach,Embry-Riddle
Emory,Emory
Emory University,Emory
Emory & Henry College,Emory & Henry College
University of Evansville,Evansville
Fairleigh Dickinson,Fairleigh Dickinson
Fanshawe,Fanshawe College
Fanshawe College,Fanshawe College
Ferris State University,Ferris State University
FIU,FIU
Florida International,FIU
Florida,Florida
Florida,Florida
Florida ,Florida
Florida Gators,Florida
Florida Gators ,Florida
"FLORIDA, UNIVERSITY OF FLORIDA",Florida
Go Gators,Florida
The @38Godfrey Academy for Apathetic Youngsters,Protect Trans Kids University
The @38Godfrey Academy for Apathetic Youngsters,Protect Trans Kids University
UF,Florida
University of Florida,Florida
University of Florida,Florida
University of Florida ,Florida
University of Florida Gators,Florida
FAMU,Florida A&M
Florida A&M University,Florida A&M
Florida Atlantic,Florida Atlantic (FAU)
Florida Atlantic,Florida Atlantic (FAU)
FLORIDA ATLANTIC (FAU),Florida Atlantic (FAU)
Florida Atlantic University,Florida Atlantic (FAU)
FLORIDA ATLANTIC UNIVERSITY (FAU),Florida Atlantic (FAU)
Florida Gulf Coast,Florida Gulf Coast
Florida Gulf Coast University (FGCU),Florida Gulf Coast
Florida Institute of Technology,Florida Institute of Technology
FLORIDA INSTITUTE OF TECHNOLOGY (PANTHERS),Florida Institute of Technology
Florida State,Florida State
Florida State University,Florida State
Florida State University ,Florida State
FLORIDA STATE UNIVERSITY (FSU),Florida State
FLORIDA STATE UNIVERSITY PANAMA CITY,Florida State
FSU,Florida State
Fordham,Fordham
Fordham,Fordham
Fordham University,Fordham
Fort Hays State,Fort Hays State
Fort Hays State Tigers,Fort Hays State
Franklin and Marshall College,Franklin & Marshall College
Fresno State,Fresno State
Friends University of Central Kansas,Friends University of Central Kansas
Furman,Furman
Furman,Furman
Furman Paladins,Furman
Furman University,Furman
Furman University,Furman
Gardner-Webb,Gardner-Webb University
Gardner-Webb,Gardner-Webb University
Gardner-Webb ,Gardner-Webb University
GARDNER-WEBB UNIVERSITY,Gardner-Webb University
Gardner-Webb University ,Gardner-Webb University
George Mason,George Mason
George Mason,George Mason
George Mason University,George Mason
George Washington,George Washington
George Washington,George Washington
George Washington Univ.,George Washington
George Washington University,George Washington
THE George Washington University,George Washington
Georgetown,Georgetown
"Georgetown, for some reason",Georgetown
Georgia,Georgia
Georgia ,Georgia
Georgia Bulldogs,Georgia
"GEORGIA, UNIVERSITY OF GEORGIA (UGA)",Georgia
THE University of Georgia Bulldogs,Georgia
UGA,Georgia
UGA,Georgia
Univ. of Georgia,Georgia
University of Georgia,Georgia
University of Georgia ,Georgia
Georgia College & State University,Georgia College & State University
Georgia College & State University (GCSU),Georgia College & State University
Georgia Gwinnett College,Georgia Gwinnett College
Georgia Southern,Georgia Southern
GEORGIA SOUTHERN (EAGLES),Georgia Southern
Georgia Southern aka the real GSU,Georgia Southern
Georgia Southern Eagles,Georgia Southern
Georgia State,Georgia State
Georgia State ,Georgia State
Georgia State Law,Georgia State
GEORGIA STATE UNIVERSITY,Georgia State
GA Tech,Georgia Tech
Georgia Institute of Technology,Georgia Tech
GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),Georgia Tech
Georgia Tech,Georgia Tech
Georgia Tech,Georgia Tech
Georgia Tech ,Georgia Tech
Georgia Tech Yellow Jackets,Georgia Tech
Gettysburg College,Gettysburg College
Gettysburg,Gettysburg College
Gettysburg College Mens Rugby,Gettysburg College
Glasgow University Tigers,Glasgow University
Gonzaga,Gonzaga
Gonzaga,Gonzaga
Gonzaga,Gonzaga
Gonzaga,Gonzaga
Gonzaga University,Gonzaga
"GCU, Beat Them Badgers.",Grand Canyon University 
Grand Canyon University,Grand Canyon University 
GRAND VALLEY STATE,Grand Valley State
Grand Valley State University,Grand Valley State
Grand Valley State University,Grand Valley State
Grinnell College,Grinnell College
Guilford,Guilford College
Guilford College,Guilford College
Guilford College,Guilford College
Guilford College ,Guilford College
Gustavus Adolphus College,Gustavus Adolphus College
Hamilton College,Hamilton College
Hamline University,Hamline University
HAMPDEN-SYDNEY,Hampden-Sydney
Hampden-Sydney College,Hampden-Sydney
Hampden-Sydney College,Hampden-Sydney
Hanover,Hanover College
Hanover College,Hanover College
Hanover College,Hanover College
Harding,Harding University
Harding University,Harding University
Harvard,Harvard
HARVARD,Harvard
Harvard,Harvard
Harvard Crimson,Harvard
Harvard University,Harvard
Harvard Law School,Harvard
HARVARD,Harvard
Haverford College,Haverford College
Hawai‘i,Hawai'i
Hawaii,Hawai'i
Kapi'olani Community College,Hawai'i
University of Hawai'i,Hawai'i
University of Hawaii at Punjab,Hawai'i
Heidelberg University,Heidelberg University
Hendrix College,Hendrix College
High Point University,High Point University
Hillsdale College,Hillsdale College
Hiram College,Hiram College
Hobart College,Hobart College
Hofstra,Hofstra
Hofstra University,Hofstra
College of the Holy Cross,Holy Cross
Holy Cross,Holy Cross
Holy Cross,Holy Cross
Hope College,Hope College
Houston,Houston
Houston ,Houston
Houston Cougars,Houston
UNIVERSITY OF HOUSTON,Houston
University of Houston Downtown,Houston
Howard University,Howard University
Idaho,Idaho
Idaho ,Idaho
Idaho Vandals,Idaho
University of Idaho,Idaho
Idaho State University,Idaho State
IDAHO STATE,Idaho State
Illinois,Illinois
Illinois ,Illinois
"ILLINOIS, UNIVERSITY OF ILLINOIS",Illinois
University of Illinois,Illinois
University of Illinois ,Illinois
University of Illinois at Urbana-Champaign,Illinois
Illinois State,Illinois State
Illinois State,Illinois State
Illinois Wesleyan University,Illinois Wesleyan University
INDIANA,Indiana
Indiana ,Indiana
Indiana Hoosiers,Indiana
Indiana University,Indiana
Indiana University ,Indiana
Indiana State University,Indiana State University
Indiana University-Southeast,Indiana University-Southeast
Iowa,Iowa
Iowa (Hawkeyes),Iowa
Iowa Hawkeyes,Iowa
"IOWA, UNIVERSITY OF",Iowa
University of Iowa,Iowa
University of Iowa ,Iowa
Iowa State,Iowa State
Iowa State Cyclones,Iowa State
Iowa State University,Iowa State
Ithaca College,Ithaca College
James Madison,James Madison
James Madison University,James Madison
James Madison University,James Madison
James Madison University Duuuuuukes,James Madison
JMU,James Madison
Jetski Police Academy,Jetski Police Academy
John Carroll University,John Carroll University
Johns Hopkins,Johns Hopkins
Johns Hopkins University,Johns Hopkins
Kalamazoo College,Kalamazoo College
Kansas,Kansas
Kansas Jayhawks ,Kansas
"KANSAS, UNIVERSITY OF KANSAS",Kansas
University of Kansas,Kansas
K-State,Kansas State
Kansas State,Kansas State
Kansas State University,Kansas State
Kennesaw State,Kennesaw State
KENNESAW STATE UNIVERSITY (K STATE),Kennesaw State
Kent State,Kent State
Kent State Umiversitee,Kent State
Kent State University,Kent State
Kent State University Golden Flashes,Kent State
Kentucky,Kentucky
Kentucky ,Kentucky
Kentucky Wildcats,Kentucky
"KENTUCKY, UNIVERSITY OF KENTUCKY",Kentucky
University of Kentucky,Kentucky
University of Kentucky ,Kentucky
Kenyon Colled,Kenyon College
Kenyon College,Kenyon College
Columbus State University,Columbus State University
Knox College,Knox College
Knox,Knox College
Knox Prairie Fire,Knox College
La Salle University,La Salle University
Lafayette,Lafayette College
Lafayette College,Lafayette College
Lander,Lander
Lehigh,Lehigh
Lehigh University,Lehigh
Lehigh University Engineers,Lehigh
Lewis & Clark College Pioneers,Lewis & Clark College
LEWIS UNIVERSITY,Lewis University 
Lewis University ,Lewis University 
Liberty University Fightin' Falwells,Liberty
Lock Haven,Lock Haven University
Lock Haven University,Lock Haven University
Lock Haven University,Lock Haven University
LOCK HAVEN UNIVERSITY,Lock Haven University
LONG BEACH STATE,Long Beach State
Long Beach State ,Long Beach State
Louisiana,Louisiana Lafayette
Louisiana Lafayette,Louisiana Lafayette
Louisiana Ragin' Cajuns,Louisiana Lafayette
"LOUISIANA, UNIV OF LOUISIANA AT LAFAYETTE RAGIN' CAJUNS",Louisiana Lafayette
"LOUISIANA, UNIVERSITY OF LOUISIANA AT LAFAYETTE RAGIN' CAJUNS",Louisiana Lafayette
Louisiana Monroe,Louisiana Monroe
Louisiana Monroe,Louisiana Monroe
Louisiana Monroe ,Louisiana Monroe
"LOUISIANA MONROE, UNIVERSITY OF LOUISIANA AT MONROE (ULM)",Louisiana Monroe
Louisiana-Monroe,Louisiana Monroe
Louisiana- Monroe ,Louisiana Monroe
ULM,Louisiana Monroe
LSU,Louisiana State (LSU)
LSU,Louisiana State (LSU)
Louisiana State University,Louisiana State (LSU)
LOUISIANA STATE UNIVERSITY (LSU),Louisiana State (LSU)
LSU,Louisiana State (LSU)
LSU (but went to St. Joe's in Philly :( no football) ,Louisiana State (LSU)
LSU Tigers,Louisiana State (LSU)
LOUISIANA STATE (LSU),Louisiana State (LSU)
LSU's Husch Blackwell Report,Louisiana State (LSU)
ODU/LSU,Louisiana State (LSU)
Louisiana Tech,Louisiana Tech
Louisiana Tech ,Louisiana Tech
Louisiana Tech University,Louisiana Tech
Louisville,Louisville
Louisville ,Louisville
"LOUISVILLE, UNIVERSITY OF LOUISVILLE",Louisville
Loyola Chicago,Loyola Chicago 
Loyola University Chicago,Loyola Chicago 
Loyola Marymount,Loyola Marymount
Loyola Marymount University,Loyola Marymount
Loyola Marymount University,Loyola Marymount
Lyon College,Lyon College
MACALESTER COLLEGE,Macalester College
Macalester,Macalester College
MACALESTER COLLEGE ,Macalester College
Maine,Maine
Maine Black Bears,Maine
University of Maine,Maine
UNIVERSITY OF MAINE - ORONO,Maine
Make Spencer Eat Cheese University,Make Spencer Eat Cheese University
Marietta College,Marietta College
Marist,Marist College
Marist College,Marist College
Marist College,Marist College
Marist College ,Marist College
Marist College Red Foxes,Marist College
Marquette,Marquette
Marquette University,Marquette
Marshall,Marshall
Marshall and WKU,Marshall
Marshall Thundering Herd,Marshall
Marshall University,Marshall
Maryland,Maryland
Maryland Terrapins,Maryland
"MARYLAND, UNIVERSITY OF MARYLAND",Maryland
"MARYLAND, UNIVERSITY OF MARYLAND LAW",Maryland
University of Maryland,Maryland
University of Maryland ,Maryland
University of Maryland Law,Maryland
Masaryk University,Masaryk University
Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts
Massachusetts College of Liberal Arts,Massachusetts College of Liberal Arts
Mayville State University,Mayville State University
McDaniel College,McDaniel College
McMurry University,McMurry University
McNeese State,McNeese State
McNeese State University,McNeese State
MCNESSE STATE,McNeese State
Memphis,Memphis
Memphis State Tigers,Memphis
Memphis Tigers,Memphis
"MEMPHIS, UNIVERSITY OF MEMPHIS/MEMPHIS STATE (TIGERS)",Memphis
University of Memphis ,Memphis
Mercer,Mercer
Mercer Bears,Mercer
Mercer University,Mercer
Miami,Miami (FL)
Miami (FL),Miami (FL)
Miami Hurricanes,Miami (FL)
"MIAMI, UNIVERSITY OF MIAMI  (HURRICANES)",Miami (FL)
"MIAMI, UNIVERSITY OF MIAMI (HURRICANES)",Miami (FL)
